LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT,TYPE
12.6727000000,6.4156000000,304.7000000000,2.2000000000,1.4000000000,2019-01-01,"0142",Aqua,MODIS,"56","6.03",288.0000000000,22.4000000000,N,"0"
12.6738000000,6.4084000000,304.4000000000,2.2000000000,1.4000000000,2019-01-01,"0142",Aqua,MODIS,"60","6.03",288.0000000000,22.1000000000,N,"0"
10.8828000000,6.8020000000,302.0000000000,2.5000000000,1.5000000000,2019-01-01,"0143",Aqua,MODIS,"46","6.03",288.4000000000,22.2000000000,N,"0"
10.8789000000,6.8250000000,304.4000000000,2.5000000000,1.5000000000,2019-01-01,"0143",Aqua,MODIS,"60","6.03",288.8000000000,27.5000000000,N,"0"
10.5560000000,4.0636000000,303.5000000000,1.6000000000,1.2000000000,2019-01-01,"0143",Aqua,MODIS,"56","6.03",290.9000000000,11.8000000000,N,"0"
5.5644000000,5.7226000000,307.7000000000,2.6000000000,1.5000000000,2019-01-01,"0144",Aqua,MODIS,"72","6.03",292.5000000000,31.6000000000,N,"2"
5.6919000000,6.3606000000,300.8000000000,2.9000000000,1.6000000000,2019-01-01,"0144",Aqua,MODIS,"34","6.03",289.0000000000,24.5000000000,N,"2"
12.2363000000,14.4138000000,331.5000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"81","6.03",305.9000000000,26.4000000000,D,"0"
12.2348000000,14.4245000000,326.7000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"75","6.03",306.0000000000,18.9000000000,D,"0"
12.2840000000,14.3057000000,318.8000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"15","6.03",303.8000000000,8.5000000000,D,"0"
12.2743000000,14.3043000000,324.3000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"71","6.03",305.2000000000,16.2000000000,D,"0"
12.2660000000,14.2921000000,367.3000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"100","6.03",305.5000000000,124.4000000000,D,"0"
12.2645000000,14.3030000000,351.8000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"95","6.03",306.7000000000,72.2000000000,D,"0"
12.2641000000,14.2859000000,341.4000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"89","6.03",303.1000000000,46.0000000000,D,"0"
12.2626000000,14.2967000000,370.6000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"100","6.03",308.1000000000,141.0000000000,D,"0"
12.2611000000,14.3076000000,325.7000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"73","6.03",304.8000000000,18.2000000000,D,"0"
12.2544000000,14.2845000000,371.6000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"100","6.03",306.4000000000,144.7000000000,D,"0"
12.2529000000,14.2954000000,379.2000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"100","6.03",309.2000000000,182.1000000000,D,"0"
12.2514000000,14.3062000000,325.2000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"72","6.03",304.5000000000,17.7000000000,D,"0"
12.2447000000,14.2832000000,339.1000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"87","6.03",304.2000000000,41.0000000000,D,"0"
12.2432000000,14.2940000000,377.8000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"100","6.03",308.5000000000,175.1000000000,D,"0"
12.2416000000,14.3049000000,326.6000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"75","6.03",304.1000000000,19.7000000000,D,"0"
12.0931000000,14.5705000000,318.4000000000,1.2000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"55","6.03",305.3000000000,8.7000000000,D,"0"
11.8218000000,13.7256000000,331.1000000000,1.3000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"81","6.03",307.9000000000,27.7000000000,D,"0"
11.8203000000,13.7371000000,328.6000000000,1.3000000000,1.1000000000,2019-01-01,"0929",Terra,MODIS,"78","6.03",305.7000000000,23.3000000000,D,"0"
11.6393000000,14.1726000000,323.1000000000,1.2000000000,1.1000000000,2019-01-01,"0930",Terra,MODIS,"52","6.03",305.2000000000,11.1000000000,D,"0"
10.6242000000,6.6308000000,313.3000000000,4.2000000000,1.9000000000,2019-01-01,"0930",Terra,MODIS,"50","6.03",298.0000000000,47.0000000000,D,"0"
10.7635000000,6.6522000000,315.5000000000,4.2000000000,1.9000000000,2019-01-01,"0930",Terra,MODIS,"60","6.03",298.3000000000,57.5000000000,D,"0"
10.9054000000,6.7289000000,317.8000000000,4.1000000000,1.9000000000,2019-01-01,"0930",Terra,MODIS,"67","6.03",297.0000000000,78.3000000000,D,"0"
8.5859000000,12.3132000000,320.2000000000,1.4000000000,1.2000000000,2019-01-01,"0930",Terra,MODIS,"61","6.03",306.0000000000,9.2000000000,D,"0"
10.3275000000,12.8738000000,317.8000000000,1.4000000000,1.2000000000,2019-01-01,"0930",Terra,MODIS,"48","6.03",304.9000000000,8.3000000000,D,"0"
10.2077000000,13.0757000000,319.9000000000,1.3000000000,1.1000000000,2019-01-01,"0930",Terra,MODIS,"58","6.03",307.3000000000,8.3000000000,D,"0"
10.3570000000,12.8142000000,317.1000000000,1.4000000000,1.2000000000,2019-01-01,"0930",Terra,MODIS,"41","6.03",304.1000000000,8.3000000000,D,"0"
11.2767000000,12.4806000000,322.9000000000,1.5000000000,1.2000000000,2019-01-01,"0930",Terra,MODIS,"64","6.03",304.8000000000,20.5000000000,D,"0"
11.2676000000,12.4655000000,345.2000000000,1.5000000000,1.2000000000,2019-01-01,"0930",Terra,MODIS,"92","6.03",303.3000000000,77.5000000000,D,"0"
11.2658000000,12.4792000000,337.2000000000,1.5000000000,1.2000000000,2019-01-01,"0930",Terra,MODIS,"86","6.03",306.5000000000,52.0000000000,D,"0"
9.1621000000,11.7631000000,319.6000000000,1.6000000000,1.2000000000,2019-01-01,"0930",Terra,MODIS,"56","6.03",305.2000000000,11.9000000000,D,"0"
9.6632000000,10.6494000000,320.4000000000,2.0000000000,1.4000000000,2019-01-01,"0930",Terra,MODIS,"48","6.03",306.7000000000,17.4000000000,D,"0"
9.8652000000,10.2999000000,315.0000000000,2.1000000000,1.4000000000,2019-01-01,"0930",Terra,MODIS,"37","6.03",302.7000000000,16.8000000000,D,"0"
